Year,Company,at,emp,cusip
1989.0,ACETO CORP,67.023,0.2,4446100.0
1990.0,ACETO CORP,68.244,0.2,4446100.0
1991.0,ACETO CORP,71.355,0.2,4446100.0
1992.0,ACETO CORP,76.288,0.2,4446100.0
1993.0,ACETO CORP,76.352,0.15,4446100.0
1994.0,ACETO CORP,81.798,0.1,4446100.0
1995.0,ACETO CORP,86.116,0.1,4446100.0
1996.0,ACETO CORP,87.302,0.075,4446100.0
1997.0,ACETO CORP,86.145,0.075,4446100.0
1998.0,ACETO CORP,84.379,0.075,4446100.0
1999.0,ACETO CORP,86.159,0.105,4446100.0
2000.0,ACETO CORP,88.081,0.125,4446100.0
2001.0,ACETO CORP,105.173,0.24,4446100.0
2002.0,ACETO CORP,115.703,0.24,4446100.0
2003.0,ACETO CORP,123.519,0.24,4446100.0
2004.0,ACETO CORP,149.697,0.256,4446100.0
2005.0,ACETO CORP,149.028,0.242,4446100.0
2006.0,ACETO CORP,166.592,0.216,4446100.0
2007.0,ACETO CORP,188.478,0.224,4446100.0
2008.0,ACETO CORP,222.243,0.227,4446100.0
2009.0,ACETO CORP,205.464,0.221,4446100.0
2010.0,ACETO CORP,231.851,0.216,4446100.0
2011.0,ACETO CORP,311.665,0.238,4446100.0
2012.0,ACETO CORP,299.28,0.233,4446100.0
2013.0,ACETO CORP,323.43,0.234,4446100.0
2014.0,ACETO CORP,467.984,0.27,4446100.0
2015.0,ACETO CORP,489.774,0.27,4446100.0
2016.0,ACETO CORP,540.778,0.27,4446100.0
2017.0,ACETO CORP,1038.185,0.286,4446100.0
2018.0,ACETO CORP,767.024,0.315,4446100.0
1989.0,AMERICAN VANGUARD CORP,21.035,0.197,30371108.0
1990.0,AMERICAN VANGUARD CORP,29.568,0.108,30371108.0
1991.0,AMERICAN VANGUARD CORP,31.784,0.118,30371108.0
1992.0,AMERICAN VANGUARD CORP,32.916,0.132,30371108.0
1993.0,AMERICAN VANGUARD CORP,36.025,0.128,30371108.0
1994.0,AMERICAN VANGUARD CORP,40.929,0.15,30371108.0
1995.0,AMERICAN VANGUARD CORP,39.341,0.16,30371108.0
1996.0,AMERICAN VANGUARD CORP,48.028,0.175,30371108.0
1997.0,AMERICAN VANGUARD CORP,55.206,0.18,30371108.0
1998.0,AMERICAN VANGUARD CORP,58.847,0.2,30371108.0
1999.0,AMERICAN VANGUARD CORP,55.579,0.17,30371108.0
2000.0,AMERICAN VANGUARD CORP,66.091,0.18,30371108.0
2001.0,AMERICAN VANGUARD CORP,68.565,0.19,30371108.0
2002.0,AMERICAN VANGUARD CORP,75.448,0.207,30371108.0
2003.0,AMERICAN VANGUARD CORP,106.734,0.223,30371108.0
2004.0,AMERICAN VANGUARD CORP,122.346,0.229,30371108.0
2005.0,AMERICAN VANGUARD CORP,183.227,0.3,30371108.0
2006.0,AMERICAN VANGUARD CORP,262.376,0.285,30371108.0
2007.0,AMERICAN VANGUARD CORP,248.581,0.309,30371108.0
2008.0,AMERICAN VANGUARD CORP,286.937,0.32,30371108.0
2009.0,AMERICAN VANGUARD CORP,254.711,0.33,30371108.0
2010.0,AMERICAN VANGUARD CORP,281.799,0.35,30371108.0
2011.0,AMERICAN VANGUARD CORP,339.141,0.39,30371108.0
2012.0,AMERICAN VANGUARD CORP,399.89,0.504,30371108.0
2013.0,AMERICAN VANGUARD CORP,447.443,0.499,30371108.0
2014.0,AMERICAN VANGUARD CORP,473.171,0.382,30371108.0
2015.0,AMERICAN VANGUARD CORP,443.539,0.347,30371108.0
2016.0,AMERICAN VANGUARD CORP,429.956,0.395,30371108.0
2017.0,AMERICAN VANGUARD CORP,535.592,0.605,30371108.0
2018.0,AMERICAN VANGUARD CORP,593.587,0.624,30371108.0
2019.0,AMERICAN VANGUARD CORP,670.098,0.671,30371108.0
2020.0,AMERICAN VANGUARD CORP,680.293,0.771,30371108.0
2021.0,AMERICAN VANGUARD CORP,694.16,0.804,30371108.0
2022.0,AMERICAN VANGUARD CORP,726.313,0.822,30371108.0
2023.0,AMERICAN VANGUARD CORP,767.548,0.845,30371108.0
1989.0,AMETEK INC,563.313,5.9,31100100.0
1990.0,AMETEK INC,615.17,6.1,31100100.0
1991.0,AMETEK INC,612.473,6.1,31100100.0
1992.0,AMETEK INC,594.739,6.2,31100100.0
1993.0,AMETEK INC,562.663,6.0,31100100.0
1994.0,AMETEK INC,501.964,6.2,31100100.0
1995.0,AMETEK INC,526.745,6.3,31100100.0
1996.0,AMETEK INC,537.915,6.5,31100100.0
1997.0,AMETEK INC,555.203,6.7,31100100.0
1998.0,AMETEK INC,699.825,6.9,31100100.0
1999.0,AMETEK INC,768.15,7.6,31100100.0
2000.0,AMETEK INC,858.988,8.1,31100100.0
