OBS_YEAR,OBS_QUARTER,GRGDP_DATA,GRGDI_DATA,GDPPLUS_DATA
1960,1,8.90076,8.80472,5.13163
1960,2,-2.16667,-0.068308,1.23097
1960,3,1.96191,0.0227706,-0.318958
1960,4,-5.16491,-2.18046,-0.224331
1961,1,2.68812,0.811928,2.37445
1961,2,6.73239,6.69524,5.83373
1961,3,7.6163,6.40816,6.6591
1961,4,7.7666,9.36437,7.55388
1962,1,7.06558,4.82005,5.18644
1962,2,3.60258,4.42509,4.50236
1962,3,4.89594,4.03206,3.88219
1962,4,1.31076,4.66359,4.32279
1963,1,4.34871,3.44444,4.20095
1963,2,4.46453,5.78328,5.56323
1963,3,8.70277,5.36248,4.96589
1963,4,2.60594,3.45979,4.81237
1964,1,8.35634,6.61755,5.74378
1964,2,4.32894,5.86935,5.66787
1964,3,6.19961,5.63356,5.06653
1964,4,1.23223,3.83048,5.40879
1965,1,9.56768,8.82508,7.04705
1965,2,5.02097,5.06773,6.2074
1965,3,8.79511,5.60101,6.59207
1965,4,9.11708,8.6536,7.81441
1966,1,9.61614,8.67492,6.52932
1966,2,1.35867,2.65849,3.64849
1966,3,3.38079,2.74185,3.09422
1966,4,3.26132,3.52403,3.18137
1967,1,3.53072,2.33498,2.38408
1967,2,0.246316,2.18961,2.76399
1967,3,3.7661,4.18054,3.85392
1967,4,3.00531,4.01622,4.75629
1968,1,8.07689,5.89006,5.57224
1968,2,6.62002,5.99271,5.22756
1968,3,3.09187,5.38655,4.49202
1968,4,1.56393,2.69704,3.57952
1969,1,6.21043,3.87488,3.20148
1969,2,1.20946,2.4265,2.4089
1969,3,2.63302,2.68981,1.45902
1969,4,-1.9543,-0.834391,-0.339661
1970,1,-0.595704,-2.7106,-1.06607
1970,2,0.565563,0.0681786,0.543722
1970,3,3.668,3.31157,1.32358
1970,4,-4.30903,-3.7739,0.844527
1971,1,10.7162,7.89934,4.73393
1971,2,2.16183,2.60129,3.31247
1971,3,3.27537,3.37635,3.44883
1971,4,0.934013,5.02254,5.08115
1972,1,7.28101,5.7525,5.88414
1972,2,8.98125,5.09408,5.44273
1972,3,3.75972,6.49422,6.64391
1972,4,6.63777,10.1628,8.38859
1973,1,9.77769,7.08149,6.0294
1973,2,4.33395,2.18338,2.47451
1973,3,-2.10858,1.29117,1.90107
1973,4,3.77707,4.18078,1.63202
1974,1,-3.44892,-3.18232,-1.34584
1974,2,0.950111,-1.57765,-1.86381
1974,3,-3.80085,-2.17286,-2.28302
1974,4,-1.55571,-4.79008,-3.52342
1975,1,-4.90517,-4.57687,-1.76115
1975,2,2.85032,3.30142,3.21957
1975,3,6.78918,8.05392,6.09106
1975,4,5.35217,4.01262,5.41469
1976,1,8.897,8.21975,5.91912
1976,2,2.92432,2.50385,3.31185
1976,3,2.18554,3.03072,3.02722
1976,4,2.88114,1.24611,2.8616
1977,1,4.7154,4.4305,5.06794
1977,2,7.69546,9.26939,7.27828
1977,3,7.1489,7.28655,5.60086
1977,4,0.00590445,2.29493,3.50264
1978,1,1.27921,2.39382,5.25435
1978,2,15.1644,11.8732,7.87754
1978,3,4.00319,2.89559,4.30997
1978,4,5.3443,3.85472,3.24072
1979,1,0.713471,3.16553,2.18358
1979,2,0.430785,-2.01407,0.0535262
1979,3,2.95874,0.487665,0.540678
1979,4,0.995978,1.58221,0.686771
1980,1,1.26057,-0.307007,-1.46544
1980,2,-8.32956,-6.53057,-2.64286
1980,3,-0.478709,2.95196,2.96086
1980,4,7.39464,9.19568,6.2391
1981,1,7.75945,2.90224,2.69912
1981,2,-2.97659,0.185815,1.6264
1981,3,4.76372,5.72326,1.90638
1981,4,-4.38031,-4.1854,-2.52721
1982,1,-6.26679,-3.18039,-1.73225
